row,file,date,imageNo,image,multipleEmbNotes,strain,spn4,condition,transcript,cell_stage,total_no_RNA,No_RNA_clusters,No_RNA_in_clusters,fraction_RNA_in_clusters,avg_no_RNA_per_cluster
101,C04.csv,211102,Image_14,211102_Image_14,NA,N2,spn4_wt,N2,C04B4.2,4-cell,2340,40,329,0.140598291,8.225
102,C04.csv,211105,Image_05,211105_Image_05,NA,N2,spn4_wt,N2,C04B4.2,4-cell,2114,20,151,0.071428571,7.55
103,C04.csv,211105,Image_06,211105_Image_06,NA,N2,spn4_wt,N2,C04B4.2,4-cell,2092,18,121,0.057839388,6.722222222
104,C04.csv,211105,Image_10,211105_Image_10,NA,N2,spn4_wt,N2,C04B4.2,4-cell,1160,6,43,0.037068966,7.166666667
105,C04.csv,211105,Image_11,211105_Image_11,NA,N2,spn4_wt,N2,C04B4.2,4-cell,1358,9,48,0.035346097,5.333333333
106,C04.csv,211105,Image_15,211105_Image_15,NA,N2,spn4_wt,N2,C04B4.2,4-cell,3069,34,263,0.085695666,7.735294118
107,C04.csv,211102,Image_09,211102_Image_09,NA,N2,spn4_wt,N2,C04B4.2,12-15-cell,1323,24,259,0.195767196,10.79166667
108,C04.csv,211102,Image_10,211102_Image_10,NA,N2,spn4_wt,N2,C04B4.2,12-15-cell,1043,11,98,0.093959732,8.909090909
109,C04.csv,211102,Image_12,211102_Image_12,NA,N2,spn4_wt,N2,C04B4.2,12-15-cell,1048,14,149,0.142175573,10.64285714
110,C04.csv,211102,Image_15,211102_Image_15,NA,N2,spn4_wt,N2,C04B4.2,12-15-cell,566,17,163,0.287985866,9.588235294
111,C04.csv,211105,Image_01,211105_Image_01,NA,N2,spn4_wt,N2,C04B4.2,12-15-cell,399,9,67,0.167919799,7.444444444
112,C04.csv,211105,Image_03,211105_Image_03,NA,N2,spn4_wt,N2,C04B4.2,12-15-cell,795,8,93,0.116981132,11.625
