AB	ABa	ABal	ABalx	ABar	ABarx	ABp	ABpl	ABplx	ABpr	ABprx	C	Cx1	Cx2	D	E	EMS	Ea	Ep	MS	MSx1	MSx2	P0	P1	P2	P3	P4
B0207.5	0.354	0	0	0.169	0	0	0	0.684	0.132727272727273	0.024	0.0075	0	0	0	0.04	0	0	0	0	1.45	8.81	0	0.014	0	0	0	0
B0207.6	120.952	122.182	53.916	12.023	12.228	4.60833333333333	106.268	26.628	15.9263636363636	39.774	40.9583333333333	67.54	1.206	0.258333333333333	52.175	7.978	38.016	22.74	6.25666666666667	20.98	0	8.79571428571429	143.968	126.096	90.752	72.674	60.305
B0212.3	39.748	50.918	60.132	26.292	17.144	30.1166666666667	11.674	43.604	44.6054545454545	34.326	38.4691666666667	22.45	22.662	47.1333333333333	18.055	47.912	17.102	1.9425	17.5183333333333	79.538	36.824	8.2	13.718	14.432	33.498	0.95	62.3283333333333
B0212.4	0	10.486	0	0.888	0	0.0708333333333333	4.126	0	0.24	0	0	6.638	0	1.72166666666667	0	0	0.346	0	0	0	0	0	8.998	0	0	0.112	9.55333333333333
B0218.5	0	0.298	0	0	0	4.32333333333333	0	0	0.348181818181818	0	16.2183333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0
B0222.5	0	0	0	0	0	0	0	0	0	0	11.285	0	0	9.14166666666667	0	0	0	0	0	0	0	9.25	0	0	0	0	0
B0222.9	0	0	0.32	0.012	0	0.0358333333333333	0	0	0	0	0	0	0	0	0	0	0	56.4925	43.065	0	0	0	0	0	0	0	0.035
B0228.1	0	0	0	0	0	0	0	0	33.6572727272727	0	0	0	0	0	0	0.168	0	0	0	0	0	0	0	0	0	0	0
B0228.6	28.734	1.404	5.002	2.522	32.816	0	1.084	0.262	54.4945454545455	48.052	0.190833333333333	27.272	0	0	4.48	0	19.918	1.3	0.68	0	0	61.5071428571429	45.582	12.908	34.992	0	467.665
B0228.7	5.274	7.948	12.51	13.666	6.708	3.3575	22.836	45.548	2.18	24.874	0.2425	0.096	3.764	0	0	0.104	10.052	19.365	47.7216666666667	4.946	0.302	11.2157142857143	18.074	5.722	9.338	0.572	0.543333333333333
B0238.1	0.708	2.284	2.042	4.645	2.782	20.95	12.782	0	3.21090909090909	3.432	2.49583333333333	33.446	2.082	0.765	0.288333333333333	1.704	3.59	2.3125	127.516666666667	0	69.342	67.2742857142857	0.822	6.444	0	0	0.04
B0238.10	91.584	69.98	1.406	1.286	44.758	0	74.88	0.868	0.742727272727273	38.568	1.49666666666667	67.592	0	2.58	1.37833333333333	5.73	101.102	20.8175	0	52.596	0.316	0	127.546	118.126	149.994	115.318	97.925
B0238.11	220.052	305.152	265.538	282.083	347.348	413.266666666667	292.274	325.934	314.909090909091	432.012	411.076666666667	309.258	215.702	541.776666666667	160.595	267.35	251.574	225.16	576.523333333333	258.232	331.848	655.601428571429	262.73	278.59	246.514	270.946	325.451666666667
B0238.15	52.818	22.422	52.1	93.209	175.642	31.575	42.222	66.162	40.0336363636364	133.466	3.2425	32.42	295.638	11.4016666666667	0	49.564	23.21	0	64.8516666666667	211.354	54.294	33.6142857142857	34.166	23.984	19.5	1.48	5.995
B0238.9	176.08	131.254	13.898	0.089	44.164	0.658333333333333	188.616	85.758	0.609090909090909	19.348	0.180833333333333	87.824	1.158	4.965	149.765	81.19	103.138	0.685	0.0833333333333333	69.234	0.084	0.187142857142857	137.706	178.526	151.358	202.022	157.96
B0250.12	0	0	0	0	0	3.71416666666667	0.114	0	0	0	0	0	0	0	0	0	0	2.91	0	0.234	0	0	0	0	0	0	0
B0250.14	0	0	0	0	0	0	0	0	4.30636363636364	0	0	0	0	0	0	25.966	0	0	0	7.194	0	0	3.218	4.436	0	0	0
B0250.4	0	0	0	0.035	0	15.965	0	0	1.40545454545455	0	0	23.446	35.138	0	0.22	0	0	0	0	0.568	0.076	12.9957142857143	0.096	0	0	0	0
B0250.5	72.002	83.424	36.418	22.931	67.432	141.605833333333	55.91	128.544	65.8972727272727	201.476	82.0875	79.098	35.762	10.615	3.41166666666667	69.046	82.572	141.2475	124.571666666667	98.192	133.42	4.97857142857143	78.89	76.48	98.42	78.504	30.1683333333333
B0250.8	0	0	0	0	31.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0252.3	0	0	0.064	0.212	0	32.0308333333333	0	3.602	0	0	0	0	0	0	0	0	19.876	167.68	195.301666666667	0	0.286	0.272857142857143	1.65	2.192	0	0	0
B0261.1	109.512	92.906	105.208	14.693	30.068	3.0625	58.164	63.078	7.10636363636364	74.334	22.7166666666667	72.974	46.35	15.4083333333333	131.09	53.338	77.922	0	70.8416666666667	7.61	1.706	22.5857142857143	36.8	76.43	84.276	31.244	86.0166666666667
B0261.4	44.722	37.122	31.644	22.362	71.17	48.7866666666667	49.486	72.622	61.2027272727273	32.71	32.57	134.43	37.898	40.125	23.365	20.522	54.966	25.8725	61.845	195.52	0.752	83.1642857142857	63.34	59.286	90.374	86.858	49.43
B0261.5	0	0	90.77	0	0	0.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0261.6	0	0	0	3.338	0.764	1.59416666666667	0	0	0.590909090909091	0	13.5041666666667	11.768	4.828	1.34333333333333	0	11.522	27.658	0	0	0	0	0	0	0	0.262	0	0
B0261.7	230.148	272.908	153.472	22.711	151.258	31.2166666666667	189.108	118.386	3.24636363636364	52.336	34.3425	188.792	6.366	40.51	271.83	102.622	246.798	7.325	6.02666666666667	150.242	59.264	8.83142857142857	300.832	306.83	330.63	381.292	277.866666666667
B0261.8	13.43	51.344	29.218	31.207	146.882	103.455833333333	45.682	0.938	27.2709090909091	89.028	24.8933333333333	2.66	19.62	9.125	0	80.522	37.66	40.9775	18.25	113.574	51.642	19.6471428571429	39.69	39.67	13.532	1.064	37.6166666666667
