"gene","cluster"
"178381","0"
"178830","0"
"178409","0"
"171687","0"
"180849","0"
"175995","0"
"187537","0"
"173161","0"
"181650","0"
"174001","0"
"181726","0"
"176333","0"
"175174","0"
"180369","0"
"178999","0"
"13190517","0"
"174231","0"
"172297","0"
"191537","0"
"174942","0"
"174062","0"
"177386","0"
"180467","0"
"175764","0"
"178548","0"
"259447","0"
"177921","0"
"174439","0"
"176814","0"
"174128","0"
"3565570","0"
"175212","0"
"181087","0"
"183016","0"
"189237","0"
"182809","0"
"178026","0"
"178364","0"
"172114","0"
"176813","0"
"174073","0"
"174471","0"
"174096","0"
"266725","0"
"260040","0"
"176086","0"
"176376","0"
"173326","0"
"184650","0"
"174012","0"
"185299","0"
"179649","0"
"176043","0"
"13219089","0"
"181281","0"
"177524","0"
"181129","0"
"6418684","0"
"175201","0"
"172327","0"
"173546","0"
"175691","0"
"181058","0"
"174438","0"
"175862","0"
"188316","0"
"4926921","0"
"187017","0"
"181340","0"
"175384","0"
"179366","0"
"187208","0"
"172376","0"
"175445","0"
"183943","0"
"182252","0"
"180681","0"
"172603","0"
"190497","0"
"177038","0"
"173156","0"
"179034","0"
"172216","0"
"173294","0"
"181668","0"
"172033","0"
"181666","0"
"24104659","0"
"6418718","0"
"172128","0"
"180966","0"
"179321","0"
"178094","0"
"173896","0"
"172071","0"
"189508","0"
"177551","0"
"176185","0"
"179642","0"
"179531","0"
"187630","0"
"34700645","0"
"185207","0"
"179629","0"
"175915","0"
"177445","0"
"178697","0"
"173772","0"
"180404","0"
"176866","0"
"178374","0"
"177505","0"
"266858","0"
"176383","0"
"185015","0"
"180885","0"
"172421","0"
"183836","0"
"174548","0"
"174472","0"
"172866","0"
"172756","0"
"180409","0"
"178330","0"
"259630","0"
"182346","0"
"259617","0"
"180036","0"
"172390","0"
"3565716","0"
"180997","0"
"180430","0"
"179333","0"
"172503","0"
"179339","0"
"171704","0"
"177007","0"
"259317","0"
"174400","0"
"172288","0"
"182484","1"
"178535","1"
"177389","1"
"173793","1"
"178744","1"
"178804","1"
"179551","1"
"181517","1"
"13217012","1"
"178506","1"
"180531","1"
"175951","1"
"179330","1"
"177719","1"
"190096","1"
"189507","1"
"191744","1"
"190590","1"
"172690","1"
"186612","1"
"184363","1"
"181234","1"
"173940","1"
"183674","1"
"187567","1"
"188458","1"
"181893","1"
"188606","1"
"171829","1"
"179042","1"
"178868","1"
"175231","1"
"180079","1"
"174127","1"
"181205","1"
"3565147","1"
"175167","1"
"180126","1"
"177509","1"
"187483","1"
"177459","1"
"177557","1"
"178092","1"
"173942","1"
"179157","1"
"174181","1"
"179162","1"
"176316","1"
"180418","1"
"180078","1"
"174252","1"
"179916","1"
"179101","1"
"180932","1"
"183911","1"
"176655","1"
"176851","1"
"180533","1"
"183460","1"
"13222514","1"
"174287","1"
"171999","1"
"172555","1"
"176418","1"
"179200","1"
"175655","1"
"181019","1"
"179550","1"
"173747","1"
"176967","1"
"178962","1"
"4927018","1"
"178140","1"
"178503","1"
"3565254","1"
"180290","1"
"181417","1"
"180200","1"
"6418712","1"
"181983","1"
"173442","1"
"188699","1"
"179426","1"
"177407","1"
"180836","1"
"177530","1"
"172358","1"
"187470","1"
"181463","1"
"181462","1"
"174914","1"
"184450","1"
"181311","1"
"180111","1"
"173978","1"
"172183","1"
"187777","1"
"171934","1"
"175239","1"
"172310","1"
"175294","1"
"173467","1"
"181771","1"
"188654","1"
"24104108","1"
"176585","1"
"3565504","1"
"187391","1"
"178882","1"
"177870","1"
"172757","1"
"175859","1"
"178729","1"
"178960","1"
"176213","1"
"179754","1"
"184995","1"
"180749","1"
"183394","1"
"173541","1"
"174648","1"
"175737","1"
"174215","1"
"180912","1"
"179918","1"
"177463","1"
"189599","1"
"180252","1"
"181250","1"
"174705","1"
"3896848","1"
"172262","1"
"184611","1"
"184677","1"
"189951","1"
"190665","1"
"174778","1"
"191240","1"
"177388","1"
"178445","1"
"181648","1"
"181223","1"
"182361","1"
"181218","1"
"177820","1"
"188915","1"
"180700","1"
"173295","1"
"179391","1"
"180730","1"
"180931","1"
"181021","1"
"188698","1"
"179990","1"
"181380","1"
"174209","1"
"179198","1"
"178069","1"
"178452","1"
"178662","1"
"180037","1"
"177493","1"
"178374","1"
"178028","1"
"183209","1"
"187703","1"
"177071","1"
"179714","1"
"173848","1"
"180743","1"
"181538","1"
"180386","1"
"177220","1"
"181202","1"
"175625","1"
"24104698","1"
"181379","1"
"173469","1"
"179564","1"
"181064","1"
"181174","1"
"174245","1"
"179660","1"
"179884","1"
"174356","1"
"177972","1"
"191499","1"
"181413","1"
"180884","1"
"174406","1"
"177793","1"
"190243","1"
"188574","1"
"172597","1"
"178025","1"
"179853","1"
"174665","1"
"3565613","1"
"4363046","1"
"181184","1"
"176477","1"
"3564933","1"
"174519","1"
"188370","1"
"188733","1"
"174358","1"
"180918","1"
"184097","1"
"4363067","1"
"24104866","1"
"182492","1"
"181758","1"
"173054","1"
"179254","1"
"178304","1"
"183101","1"
"184919","1"
"178777","1"
"180016","1"
"176618","1"
"181851","1"
"173795","1"
"174066","1"
"173936","1"
"175898","1"
"180943","1"
"173588","1"
"178756","1"
"188361","1"
"184790","1"
"180601","1"
"177416","1"
"175973","1"
"181088","1"
"173475","1"
"176579","1"
"173674","1"
"178679","1"
"177783","1"
"180925","1"
"175417","1"
"184743","1"
"174180","1"
"176797","1"
"259497","1"
"175895","1"
"173478","1"
"172003","1"
"3565206","1"
"176756","1"
"4926966","1"
"178660","1"
"189435","1"
"174507","1"
"177905","1"
"188184","1"
"181431","1"
"179079","1"
"181724","1"
"184861","1"
"174192","1"
"176612","1"
"172087","1"
"174537","1"
"185501","1"
"182644","1"
"181242","1"
"180457","1"
"179885","1"
"184560","1"
"3565903","1"
"178094","1"
"175763","1"
"173269","1"
"173566","1"
"176954","1"
"174307","1"
"7040165","1"
"181065","1"
"179446","1"
"187321","1"
"172726","1"
"177215","1"
"181382","1"
"266913","1"
"3565636","1"
"172189","1"
"176305","1"
"174254","1"
"182185","1"
"174398","1"
"187312","1"
"178784","1"
"174251","1"
"4363126","1"
"178659","1"
"187898","1"
"184522","1"
"178680","1"
"180870","1"
"173776","1"
"13219641","1"
"173287","1"
"186718","1"
"179241","1"
"174022","1"
"190337","1"
"185500","1"
"182577","1"
"178633","1"
"173323","1"
"177696","1"
"190658","1"
"183717","1"
"175009","1"
"179048","1"
"3565470","1"
"187962","1"
"187635","1"
"187217","1"
"178730","1"
"178596","1"
"180053","1"
"180194","1"
"173105","1"
"181439","1"
"179308","1"
"191419","1"
"188368","1"
"189971","1"
"180921","1"
"177807","1"
"174555","1"
"3896819","1"
"4926920","1"
"172810","1"
"175955","1"
"173702","1"
"179026","1"
"181215","1"
"187247","1"
"191731","1"
"181631","1"
"174916","1"
"180398","1"
"180421","1"
"13191891","1"
"176433","1"
"179587","1"
"180345","1"
"178392","1"
"191152","1"
"179796","1"
"180600","1"
"177248","1"
"171884","1"
"171932","1"
"173471","1"
"187863","1"
"179578","1"
"180994","1"
"177531","1"
"175719","1"
"178291","1"
"181786","1"
"181546","1"
"184902","1"
"173657","1"
"182229","1"
"180886","1"
