"SYMBOL","ENTREZID"
"krr-1","179115"
"chd-1","172432"
"grdn-1","190137"
"cdl-1","174659"
"rfp-1","176180"
"pqn-15","180705"
"ZK637.14","176251"
"F13H8.2","174038"
"atrn-1","181566"
"nrde-2","174589"
"duxl-1","173537"
"dnj-5","174122"
"C02B10.4","177283"
"ddx-46","176943"
"ttc-17","179275"
"hxk-3","176958"
"pdcd-2","259501"
"epg-9","177040"
"slc-30A5","173299"
"vps-24","173863"
"rnf-121","182681"
"Y51H7C.7","173517"
"rnp-6","171922"
"F12F6.1","178081"
"C35E7.6","183243"
"M01E5.3","173193"
"mig-6","179162"
"baz-2","176078"
"T12B3.3","177509"
"atg-18","179246"
"W02D7.6","179212"
"ppt-1","191744"
"syf-3","178979"
"F07F6.8","173926"
"K02B7.3","175129"
"Y48G10A.3","173217"
"his-3","180073"
"apd-3","173701"
"Y54E5A.8","173333"
"C36B7.6","180976"
"evl-14","175555"
"taf-1","173257"
"mce-1","172514"
"fic-1","177990"
"nrd-1","172064"
"emr-1","171752"
"ccr-4","178184"
"nono-1","175844"
"cht-1","180628"
"sam-10","174975"
"cam-1","174473"
"dsh-1","173894"
"hrpf-2","177398"
"aman-1","180749"
"rpn-3","176196"
"tth-1","181097"
"spds-1","174914"
"Y49F6B.2","173696"
"rab-10","266836"
"lpin-1","179853"
"alg-2","173468"
"sid-5","184450"
"T01H3.3","174270"
"ces-2","173365"
"mig-15","181248"
"his-2","180074"
"unc-40","172233"
"his-61","177521"
"mtr-4","177824"
"bcl-7","175838"
"H05C05.1","259329"
"F19C6.5","184677"
"cpz-1","171829"
"pod-2","173500"
"vav-1","181153"
"nid-1","179770"
"gem-4","178108"
"T02G5.7","3565206"
"snx-13","178482"
"lin-10","172597"
"sut-2","178847"
"npp-20","176957"
"swsn-3","175393"
"aip-1","179898"
"dcn-1","175556"
"Y45F10D.7","178346"
"F11G11.5","173836"
"nmt-1","175861"
"F36D4.5","179324"
"rpb-3","172680"
"ptp-3","174685"
"rpb-11","175056"
"xbx-6","179361"
"unc-73","171988"
"M01H9.3","177215"
"chat-1","177213"
"tasp-1","176508"
"Y52B11A.10","173006"
"fipp-1","178835"
"mrck-1","179013"
"C24D10.6","177287"
"his-4","180072"
"C44B7.11","183431"
"F59B1.2","178783"
"dif-1","177530"
"K12H4.3","176134"
"F10E9.11","176173"
"T22H9.1","24104925"
"abhd-12","179172"
"capg-1","172521"
"F53E10.6","178728"
"mrpl-50","174422"
"nck-1","180690"
"C52B9.4","180699"
"cdf-2","188574"
"cchl-1","174713"
"myrf-1","174614"
"T16G12.13","176418"
"dpy-26","178196"
"sup-46","172881"
"cacn-1","175066"
"B0507.3","179254"
"mac-1","174974"
"ZK686.1","191404"
"K06G5.1","181531"
"dnj-8","174093"
"atad-3","174590"
"daf-31","177622"
"pygl-1","178777"
"R166.2","174620"
"T22C1.6","172568"
"akir-1","171997"
"Y53G8AR.9","175434"
"cyn-11","174394"
"hbl-1","180848"
"C33G3.4","181517"
"rnst-2","190096"
"smc-4","175603"
"let-413","179171"
"nduf-5","266824"
"lin-36","176128"
"Y37E11AM.3","36805052"
"mob-2","181441"
"obr-4","172253"
"mboa-3","180824"
"F20D12.12","24104459"
"asp-5","179211"
"sna-3","175878"
"cyn-6","175231"
"nra-3","181206"
"alg-1","181504"
"gid-1","173332"
"T16G12.4","188556"
"rpb-7","171877"
"ipla-1","173795"
"vha-6","174743"
"lin-49","177666"
"dhs-6","3565470"
"C42D4.18","13196550"
"mrps-28","180287"
"cash-1","179445"
"smr-1","175281"
"Y73C8B.3","178756"
"ncam-1","180418"
"jhdm-1","175919"
"K01A2.4","3565272"
"rgr-1","176320"
"C05E11.3","180730"
"F57B10.8","172368"
"scpl-3","172032"
"sel-1","179720"
"fkh-7","177340"
"swsn-1","180324"
"cux-7","176066"
"mrpl-44","176285"
"snrp-27","172652"
"npp-8","176966"
"ppfr-2","172381"
"nhr-35","180725"
"ddx-23","175818"
"pam-1","177528"
"hgrs-1","177617"
"swsn-2.2","172018"
"pir-1","174460"
"hsr-9","3565010"
"nstp-10","179342"
"cdf-1","180923"
"W02A2.9","3565254"
"eif-3.K","179779"
"hrpu-2","177011"
"cpf-1","174378"
"C46F11.6","259497"
"ttx-7","172477"
"znf-207","178042"
"Y48G1C.8","3564797"
"lsm-8","177393"
"lsm-6","190601"
"F47B7.2","180664"
"exos-8","174111"
"ani-1","176672"
"W10G11.19","173702"
"cpl-1","180111"
"pmp-2","174127"
"rpb-2","175668"
"K01G5.8","176500"
"szy-20","174430"
"srgp-1","178079"
"T19B10.2","179551"
"rpc-1","177491"
"cec-3","174265"
"flh-1","177749"
"nol-14","171622"
"aakg-1","3565679"
"txl-1","171897"
"ugt-23","181205"
"F26E4.4","259393"
"sdha-1","181108"
"scav-3","176673"
"spop-1","176422"
"epg-4","176009"
"lin-35","172249"
"slc-36.2","173442"
"ddx-52","172651"
"T20B12.3","176053"
"hcp-6","266830"
"syf-1","171970"
"mrps-5","179721"
"slc-36.1","259544"
"B0511.12","172961"
"idh-2","181311"
