gene_ID	name	SPN4	OMA1	LIN41	spn4_enrichment	oma1_enrichment	lin41_enrichment	Log2_SPN-4_LYSATE_FPKM	Log2_SPN-4_IP_FPKM	Log2_OMA-1_LYSATE_FPKM	Log2_OMA-1_IP_FPKM	Log2_LIN-41_LYSATE_FPKM	Log2_LIN-41_IP_FPKM
WBGene00017427	acp-5	FALSE	FALSE	FALSE	-0.679276712	-2.194407498	-1.263870585	0.191	-0.388	0.964	-1.151	0.526	-0.732
WBGene00017429	F13D11.4	FALSE	FALSE	FALSE	-1.057414952	0.831037775	-1.221991615	1.149	0.167	1.147	1.934	0.718	-0.53
WBGene00169823	21ur-15047	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00021060	dct-11	FALSE	FALSE	FALSE	-0.75062818	-1.224801519	-1.724505615	2.809	1.927	3.195	1.98	2.99	1.237
WBGene00196810	W06B11.7	FALSE	FALSE	FALSE	2.162390758		0.577419876	-3.322	-3.322	-3.322	-3.322	-2.52	-3.322
WBGene00199258	W06B11.9	FALSE	FALSE	FALSE	0.531346349	0.184551764	0.363703842	-1.766	-3.322	-1.452	-1.691	-1.094	-1.297
WBGene00004245	puf-9	FALSE	FALSE	TRUE	0.341341377	0.434206498	2.77248626	4.551	4.897	4.361	4.792	4.623	7.389
WBGene00198927	W06B11.8	FALSE	FALSE	FALSE		2.352641214	-0.410034918	-3.322	-3.322	-3.322	-2.382	-1.425	-3.322
WBGene00021059	atat-2	FALSE	FALSE	FALSE	0.471108524	2.350663601	-0.386739165	-0.13	0.387	0.238	2.485	0.262	-0.138
WBGene00001984	hog-1	FALSE	FALSE	FALSE	1.555370422	-0.385331297	-0.096285342	-1.667	-0.349	-1.266	-1.575	-1.453	-1.876
WBGene00200826	W06B11.10	FALSE	FALSE	FALSE		-1.053184637	-0.989802387	-3.322	-3.322	-1.633	-3.322	-1.142	-3.322
WBGene00201884	W06B11.11	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00195718	W06B11.5	FALSE	FALSE	FALSE	0.531299961			-2.112	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00196753	W06B11.6	FALSE	FALSE	FALSE		1.390871213		-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00198583	F49E10.15	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00199554	F49E10.17	FALSE	FALSE	FALSE	3.081529255	1.390896862	3.416789274	-3.322	-1.827	-3.322	-3.322	-2.428	0.468
WBGene00200547	F49E10.21	FALSE	FALSE	FALSE	0.789813324	0.819246604	-1.417728674	-1.876	-3.322	-2.138	-2.128	-0.889	-3.322
WBGene00199759	F49E10.18	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00006424	ctbp-1	FALSE	TRUE	FALSE	2.069160501	2.921048387	2.239307112	-0.141	1.787	-0.215	2.562	0.086	2.2
WBGene00201835	F49E10.24	FALSE	FALSE	FALSE		0.867777717		-3.322	-3.322	-2.268	-2.18	-3.322	-3.322
WBGene00201673	F49E10.23	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00196918	F49E10.13	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00195879	F49E10.10	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00198416	F49E10.14	FALSE	FALSE	FALSE	-0.29324056	3.015740168	-0.754937996	-0.133	-3.322	-2.417	-0.893	-1.425	-2.219
WBGene00165194	21ur-15624	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00200129	F49E10.20	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00200006	F49E10.19	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00199054	F49E10.16	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00202287	F49E10.26	FALSE	FALSE	FALSE		1.390802126		-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00018641	F49E10.4	FALSE	FALSE	FALSE	-0.63263125	-0.349202122	-0.783991403	-2.337	-2.963	-2.305	-2.495	-2.411	-2.704
WBGene00201472	F49E10.22	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00001450	flp-7	FALSE	FALSE	FALSE	-2.213262519	-1.955549168	-1.694103367	0.95	-2.242	1.135	-0.644	1.35	-0.991
WBGene00196117	F49E10.11	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00202265	F49E10.25	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00195837	F49E10.9	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00018640	F49E10.2	FALSE	FALSE	FALSE	1.036004388	-0.15757396	1.409183268	-2.209	-1.597	-3.168	-3.177	-3.008	-2.597
WBGene00195269	F49E10.8	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00196308	F49E10.12	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00018639	tbc-16	FALSE	FALSE	FALSE	-0.437865863	-1.360071962	-0.68209365	-1.219	-2.213	-1.368	-2.222	-1.219	-1.917
WBGene00198063	H05L03.7	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00019160	nlp-49	FALSE	TRUE	FALSE	-0.370107986	2.894597944	-0.425923144	3.353	2.984	3.418	6.302	3.019	2.588
WBGene00195014		FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00195015		FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00021267	Y23B4A.1	FALSE	FALSE	FALSE	0.789813324	1.390802126	0.5951166	-2.421	-3.322	-3.322	-3.322	-2.842	-3.322
WBGene00167523	21ur-15342	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
