"Comparison","diff","lwr","upr","p adj"
"4-cell_DG5329-2-cell_DG5398",-7338.0695652174,-10282.2326901665,-4393.90644026828,4.03010957938932e-13
"4-cell_DG5779-2-cell_DG5398",-5070.57544757033,-6978.99294790732,-3162.15794723334,6.78346268045971e-14
"4-cell_DG5399-2-cell_DG5398",-1867.08385093167,-3889.65915266763,155.491450804279,0.104633096359375
"4-cell_DG5398-2-cell_DG5398",-2880.36956521739,-5005.13628112682,-755.602849307963,0.000595052667202167
"4-cell_DG3913-4-cell_N2",-7.71428571427759,-2769.74423218416,2754.3156607556,1
"4-cell_DG5410-4-cell_N2",-225.207792207792,-2629.24628601239,2178.8307015968,0.999999999244642
"4-cell_DG5329-4-cell_N2",-235.771428571435,-3344.33357291547,2872.7907157726,0.999999999949264
"4-cell_DG5779-4-cell_N2",2031.72268907563,-121.674500142179,4185.11987829344,0.0868068061818181
"4-cell_DG5399-4-cell_N2",5235.21428571429,2980.02627800164,7490.40229342694,1.35669253609194e-11
"4-cell_DG5398-4-cell_N2",4221.92857142857,1874.65447239898,6569.20267045816,4.16345174891752e-07
"4-cell_DG5410-4-cell_DG3913",-217.493506493515,-3102.33969905903,2667.352686072,0.999999999953047
"4-cell_DG5329-4-cell_DG3913",-228.057142857157,-3721.77938143227,3265.66509571795,0.999999999992678
"4-cell_DG5779-4-cell_DG3913",2039.43697478991,-640.125662954662,4718.99961253448,0.358729409515747
"4-cell_DG5399-4-cell_DG3913",5242.92857142856,2480.89862495868,8004.95851789845,6.61645740418493e-08
"4-cell_DG5398-4-cell_DG3913",4229.64285714285,1391.92684403642,7067.35887024928,7.76609166489584e-05
"4-cell_DG5329-4-cell_DG5410",-10.5636363636427,-3228.74429238843,3207.61701966114,1
"4-cell_DG5779-4-cell_DG5410",2256.93048128342,-51.8890404840258,4565.75000305087,0.0626298167523258
"4-cell_DG5399-4-cell_DG5410",5460.42207792208,3056.38358411748,7864.46057172667,3.88954424224153e-11
"4-cell_DG5398-4-cell_DG5410",4447.13636363636,1956.50916842258,6937.76355885015,5.27683617801422e-07
"4-cell_DG5779-4-cell_DG5329",2267.49411764706,-768.029743179763,5303.01797847389,0.390353143873929
"4-cell_DG5399-4-cell_DG5329",5470.98571428572,2362.42356994168,8579.54785862976,8.35098890372699e-07
"4-cell_DG5398-4-cell_DG5329",4457.70000000001,1281.69915757363,7633.70084242638,0.000294271609552088
"4-cell_DG5399-4-cell_DG5779",3203.49159663866,1050.09440742085,5356.88878585646,8.12327778344502e-05
"4-cell_DG5398-4-cell_DG5779",2190.20588235294,-59.4479133177174,4439.8596780236,0.0651084925301296
"4-cell_DG5398-4-cell_DG5399",-1013.28571428571,-3360.55981331531,1333.98838474388,0.972515656171774
