transcript	cell_stage	.y.	group1	group2	n1	n2	statistic	df	p	p.adj	p.adj.signif
egg-3	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	2.07965333643372	11.5026645649508	0.061	0.11003164556962	ns
egg-3	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	7	8	4.22321287634814	7.36668790230368	0.004	0.0110679611650485	*
egg-3	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	-7.83724533185847	9.38623619589414	2.05e-05	0.000166928571428571	***
egg-3	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	-0.0868846911619451	11.587790582905	0.932	0.955467625899281	ns
egg-3	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	7.35964685774169	11.2861357916075	1.24e-05	0.0001178	***
egg-3	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-8.41098377828953	7.51096842769848	4.41e-05	0.0002793	***
egg-3	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	0.360661056627845	13.6333702911455	0.724	0.799767441860465	ns
egg-3	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	8.4574385514803	7.71053711149242	3.64e-05	0.000255142857142857	***
lin-41	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	6	-0.971977761040492	11.9617456154409	0.35	0.451357466063348	ns
lin-41	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	5.03164639702118	11.7575800141566	0.000312	0.00164666666666667	**
lin-41	2-cell	total_no_RNA	spn4_minus	spn4_wt	6	8	7.08089760274339	10.2749536430332	2.93e-05	0.000214115384615385	***
lin-41	4-cell	total_no_RNA	spn4_plus	spn4_minus	12	5	-2.07202629793223	13.1151176796377	0.059	0.107788461538462	ns
lin-41	4-cell	total_no_RNA	spn4_plus	spn4_wt	12	8	4.05813849734401	11.4603435428735	0.002	0.00619565217391304	**
lin-41	4-cell	total_no_RNA	spn4_minus	spn4_wt	5	8	7.71885884336006	4.22070318630544	0.001	0.00327586206896552	**
lin-41	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	6	-10.0878648646988	5.59863539256011	8.44e-05	0.000522913043478261	***
lin-41	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	6	2.82291170820869	9.33804846009771	0.019	0.0423046875	*
lin-41	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	6	6	11.0725774763651	5.10785089386796	9.18e-05	0.00054684375	***
lin-41	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-18.9722719601046	7.12500032137612	2.32e-07	6.01090909090909e-06	****
lin-41	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	4.10129124007558	11.1747642394402	0.002	0.00619565217391304	**
lin-41	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	19.4751301254929	7.0413575254718	2.2e-07	6.01090909090909e-06	****
lin-41	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-5.71283905605478	7.00424841355453	0.000724	0.00312636363636364	**
lin-41	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	1.82644078340875	13.3489591619959	0.09	0.152678571428571	ns
lin-41	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	5.75387169787827	7.00271139921568	0.000695	0.00304730769230769	**
mcm-2	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	1.31596318744554	10.0281214771586	0.217	0.2945	ns
mcm-2	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-0.333550821962759	11.6977368186971	0.745	0.813505747126437	ns
mcm-2	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-1.3953426610394	13.1285366432987	0.186	0.26505	ns
mcm-2	4-cell	total_no_RNA	spn4_plus	spn4_minus	10	8	1.74269280588955	8.76095233735266	0.116	0.187840909090909	ns
mcm-2	4-cell	total_no_RNA	spn4_plus	spn4_wt	10	8	-0.732353547872641	13.2434819899542	0.477	0.573607594936709	ns
mcm-2	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-2.05570380836358	10.2703612043321	0.066	0.116832298136646	ns
mcm-2	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	7	8	-1.90135962364462	7.18633041046386	0.098	0.163333333333333	ns
mcm-2	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	-1.37453100721508	10.3575188665401	0.198	0.277980295566502	ns
mcm-2	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	0.516887999805953	10.2514028427158	0.616	0.705060240963855	ns
mcm-2	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	0.67811517941399	13.3472996836229	0.509	0.601929460580913	ns
mcm-2	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	0.068656509437073	13.511873330512	0.946	0.957074468085106	ns
mcm-2	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-0.678296206038655	13.9852900165367	0.509	0.601929460580913	ns
mcm-2	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	1.01803289179864	13.816879506574	0.326	0.422318181818182	ns
mcm-2	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	1.34070617896641	11.3511944636899	0.206	0.286383495145631	ns
